transaction_id,timestamp,card_type,merchant_name,merchant_category,amount_usd,currency,status,country_code,is_international,cardholder_id,cardholder_home_country,cardholder_typical_category,cardholder_avg_spend,_injected_fraud_flags,_run_id,_validated_at,_validation_errors,_validation_warnings,_is_valid
18049299-0fe2-4c5c-b7d3-f8e6d6a50995,,Blue Cash,Walmart,Retail,127.66,USD,approved,US,False,CH-10139,US,Retail,283.01,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:timestamp,,False
019820c9-85a4-42b6-9800-19198b7bfbcd,2025-12-12 01:21:23,Gold,,Travel,60.75,USD,approved,US,False,CH-10152,US,Retail,125.04,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:merchant_name,,False
0133ba91-f506-43d7-8b1e-c57b4fccfac4,2025-10-18 01:21:23,Green,Delta Airlines,Travel,-82.5,USD,approved,GB,False,CH-10080,GB,Transportation,47.3,,325ec2e6,2026-05-12 01:21:23,INVALID_AMOUNT:-82.5,,False
5b347c69-8e88-410a-9c77-8771ea1d50b2,,Green,Target,Retail,17.37,USD,declined,US,False,CH-10009,US,Fuel,64.52,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:timestamp,,False
6b949c50-1174-41ba-9824-3e57cffc4597,2026-05-04 01:21:23,Blue Cash,,Fuel,6.88,USD,approved,CA,False,CH-10158,CA,Technology,144.41,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:merchant_name,,False
b8faf457-f832-467f-951c-4853ca6400af,,Blue Cash,Shell Gas,Fuel,423.42,USD,pending,US,False,CH-10165,US,Fuel,219.14,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:timestamp,,False
f8e1f53c-2371-4027-b26d-0caca9daa5d1,2025-12-10 01:21:23,Blue Cash,,Technology,18.05,USD,approved,US,False,CH-10024,US,Retail,148.52,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:merchant_name,,False
a0bbdd7b-db16-4ffd-b181-c906dce88c2a,2025-07-23 01:21:23,Green,,Retail,-1666.25,USD,approved,US,False,CH-10094,US,Healthcare,95.72,HIGH_VALUE_OUTLIER,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:merchant_name|INVALID_AMOUNT:-1666.25,,False
977192b9-ba75-4579-9b87-dcc73ace9ae3,,Green,Netflix,Entertainment,79.16,USD,approved,CA,False,CH-10119,CA,Food & Beverage,115.79,,325ec2e6,2026-05-12 01:21:23,NULL_FIELD:timestamp,,False
8c678682-3a4b-4bf1-a3a6-286bb47f1ea4,2026-03-21 01:21:23,Platinum,Whole Foods,Food & Beverage,-52.27,USD,approved,US,False,CH-10115,US,Retail,31.9,,325ec2e6,2026-05-12 01:21:23,INVALID_AMOUNT:-52.27,,False
f6274d9b-16ce-404c-abc0-a2ec8ec1426e,2026-03-14 01:21:23,Green,McDonald's,Food & Beverage,-20.4,USD,approved,US,False,CH-10092,US,Healthcare,83.58,,325ec2e6,2026-05-12 01:21:23,INVALID_AMOUNT:-20.4,,False
